[2025-10-13 00:55:00] epoch=0 test_loss=1.861734 test_acc=0.214522
[2025-10-13 00:55:03] epoch=0 test_macroF1=0.093481 test_balAcc=0.208847
[2025-10-13 00:55:03] epoch=0 test_clsacc[0][background]=0.005150 n=20582
[2025-10-13 00:55:03] epoch=0 test_clsacc[1][clipper]=0.020059 n=4736
[2025-10-13 00:55:03] epoch=0 test_clsacc[2][grasper]=0.040822 n=17368
[2025-10-13 00:55:03] epoch=0 test_clsacc[3][hook]=0.978203 n=12800
[2025-10-13 00:55:03] epoch=0 test_clsacc[4][scissors]=0.000000 n=7123
[2025-10-13 10:00:54] epoch=0 test_loss=1.637244 test_acc=0.250164
[2025-10-13 10:00:57] epoch=0 test_macroF1=0.087152 test_balAcc=0.201626
[2025-10-13 10:00:57] epoch=0 test_clsacc[0][background]=0.002881 n=18394
[2025-10-13 10:00:57] epoch=0 test_clsacc[1][clipper]=0.000280 n=3575
[2025-10-13 10:00:57] epoch=0 test_clsacc[2][grasper]=0.014797 n=15679
[2025-10-13 10:00:57] epoch=0 test_clsacc[3][hook]=0.990172 n=12820
[2025-10-13 10:00:57] epoch=0 test_clsacc[4][scissors]=0.000000 n=1418
[2025-10-13 11:52:48] epoch=0 test_loss=1.637244 test_acc=0.250164
[2025-10-13 11:52:51] epoch=0 test_macroF1=0.087152 test_balAcc=0.201626
[2025-10-13 11:52:51] epoch=0 test_clsacc[0][background]=0.002881 n=18394
[2025-10-13 11:52:51] epoch=0 test_clsacc[1][clipper]=0.000280 n=3575
[2025-10-13 11:52:51] epoch=0 test_clsacc[2][grasper]=0.014797 n=15679
[2025-10-13 11:52:51] epoch=0 test_clsacc[3][hook]=0.990172 n=12820
[2025-10-13 11:52:51] epoch=0 test_clsacc[4][scissors]=0.000000 n=1418
[2025-10-13 14:04:06] epoch=0 test_loss=1.687625 test_acc=0.154487
[2025-10-13 14:04:06] epoch=0 test_macroF1=0.088010 test_balAcc=0.196393
[2025-10-13 14:04:07] epoch=0 test_clsacc[0][background]=0.015251 n=459
[2025-10-13 14:04:07] epoch=0 test_clsacc[1][clipper]=0.000000 n=22
[2025-10-13 14:04:07] epoch=0 test_clsacc[2][grasper]=0.139130 n=460
[2025-10-13 14:04:07] epoch=0 test_clsacc[3][hook]=0.827586 n=116
[2025-10-13 14:04:07] epoch=0 test_clsacc[4][scissors]=0.000000 n=24
[2025-10-13 14:10:18] epoch=0 test_loss=2.717839 test_acc=0.018501
[2025-10-13 14:10:18] epoch=0 test_macroF1=0.015061 test_balAcc=0.179545
[2025-10-13 14:10:18] epoch=0 test_clsacc[0][background]=0.000000 n=459
[2025-10-13 14:10:18] epoch=0 test_clsacc[1][clipper]=0.772727 n=22
[2025-10-13 14:10:18] epoch=0 test_clsacc[2][grasper]=0.000000 n=460
[2025-10-13 14:10:18] epoch=0 test_clsacc[3][hook]=0.000000 n=116
[2025-10-13 14:10:18] epoch=0 test_clsacc[4][scissors]=0.125000 n=24
[2025-10-13 15:21:44] epoch=0 test_loss=2.717839 test_acc=0.018501
[2025-10-13 15:21:44] epoch=0 test_macroF1=0.015061 test_balAcc=0.179545
[2025-10-13 15:21:44] epoch=0 test_clsacc[0][background]=0.000000 n=459
[2025-10-13 15:21:44] epoch=0 test_clsacc[1][clipper]=0.772727 n=22
[2025-10-13 15:21:44] epoch=0 test_clsacc[2][grasper]=0.000000 n=460
[2025-10-13 15:21:44] epoch=0 test_clsacc[3][hook]=0.000000 n=116
[2025-10-13 15:21:44] epoch=0 test_clsacc[4][scissors]=0.125000 n=24
[2025-10-13 15:23:19] epoch=0 test_loss=1.687625 test_acc=0.154487
[2025-10-13 15:23:19] epoch=0 test_macroF1=0.088010 test_balAcc=0.196393
[2025-10-13 15:23:19] epoch=0 test_clsacc[0][background]=0.015251 n=459
[2025-10-13 15:23:19] epoch=0 test_clsacc[1][clipper]=0.000000 n=22
[2025-10-13 15:23:19] epoch=0 test_clsacc[2][grasper]=0.139130 n=460
[2025-10-13 15:23:19] epoch=0 test_clsacc[3][hook]=0.827586 n=116
[2025-10-13 15:23:19] epoch=0 test_clsacc[4][scissors]=0.000000 n=24
[2025-10-13 15:51:36] epoch=0 test_loss=1.637244 test_acc=0.250164
[2025-10-13 15:51:38] epoch=0 test_macroF1=0.087152 test_balAcc=0.201626
[2025-10-13 15:51:39] epoch=0 test_clsacc[0][background]=0.002881 n=18394
[2025-10-13 15:51:39] epoch=0 test_clsacc[1][clipper]=0.000280 n=3575
[2025-10-13 15:51:39] epoch=0 test_clsacc[2][grasper]=0.014797 n=15679
[2025-10-13 15:51:39] epoch=0 test_clsacc[3][hook]=0.990172 n=12820
[2025-10-13 15:51:39] epoch=0 test_clsacc[4][scissors]=0.000000 n=1418
