video_id,task,rows,images,clips,classes_present
case_001_video_part_001_segment_3,case_001_video_part_001_segment_3,15171,11779,167,"background,clipper,grasper,hook"
case_003_video_part_001_segment_5,case_003_video_part_001_segment_5,11238,9002,85,"background,clipper,grasper,hook,scissors"
case_004_video_part_002_segment_2,case_004_video_part_002_segment_2,23205,19253,108,"background,grasper"
case_008_video_part_001_segment_7,case_008_video_part_001_segment_7,12554,9226,166,"background,clipper,grasper,hook,scissors"
case_009_video_part_002_segment_3,case_009_video_part_002_segment_3,12446,8813,127,"background,clipper,grasper,hook"
case_036_video_part_002_segment_3,case_036_video_part_002_segment_3,9908,7221,104,"background,clipper,grasper,hook,scissors"
case_040_video_part_002_segment_2,case_040_video_part_002_segment_2,10481,7485,76,"background,clipper,grasper,hook"
case_059_video_part_001_segment_6,case_059_video_part_001_segment_6,7736,6057,47,"background,clipper,grasper,hook,scissors"
case_067_video_part_002_segment_2,case_067_video_part_002_segment_2,7288,5295,96,"background,clipper,grasper,hook"
cholec80_01,cholec80_01,6840,5002,142,"background,clipper,grasper,hook,scissors"
cholec80_04,cholec80_04,5822,4259,167,"background,clipper,grasper,hook,scissors"
cholec80_06,cholec80_06,6649,4766,145,"background,clipper,grasper,hook,scissors"
cholec80_07,cholec80_07,14709,11311,300,"background,clipper,grasper,hook,scissors"
cholec80_08,cholec80_08,5630,4078,107,"background,clipper,grasper,hook,scissors"
cholec80_09,cholec80_09,12787,9620,243,"background,clipper,grasper,hook,scissors"
cholec80_10,cholec80_10,4279,3254,126,"background,clipper,grasper,hook,scissors"
cholec80_11,cholec80_11,10024,7594,153,"background,clipper,grasper,hook,scissors"
cholec80_12,cholec80_12,3640,2739,192,"background,clipper,grasper,hook,scissors"
cholec80_13,cholec80_13,6389,4735,127,"background,clipper,grasper,hook,scissors"
cholec80_14,cholec80_14,5349,3953,175,"background,clipper,grasper,hook,scissors"
cholec80_15,cholec80_15,6213,4514,165,"background,clipper,grasper,hook,scissors"
cholec80_16,cholec80_16,13882,10655,323,"background,clipper,grasper,hook,scissors"
cholec80_18,cholec80_18,8465,6074,168,"background,clipper,grasper,hook,scissors"
cholec80_20,cholec80_20,6642,4907,133,"background,clipper,grasper,hook,scissors"
cholec80_21,cholec80_21,5522,4055,136,"background,clipper,grasper,hook,scissors"
cholec80_22,cholec80_22,7879,5775,175,"background,clipper,grasper,hook,scissors"
cholec80_23,cholec80_23,8660,6469,175,"background,clipper,grasper,hook,scissors"
cholec80_24,cholec80_24,5920,4400,184,"background,clipper,grasper,hook,scissors"
cholec80_25,cholec80_25,10264,7323,217,"background,clipper,grasper,hook,scissors"
cholec80_27,cholec80_27,12811,9295,308,"background,clipper,grasper,hook,scissors"
cholec80_29,cholec80_29,9682,7018,207,"background,clipper,grasper,hook,scissors"
comprehensive_001_left,comprehensive_001_left,1824,1164,37,"background,grasper,hook"
comprehensive_003_left,comprehensive_003_left,3404,2561,40,"background,grasper,hook"
comprehensive_005_left,comprehensive_005_left,7996,5605,102,"background,grasper,hook"
comprehensive_006_left,comprehensive_006_left,8260,6322,71,"background,grasper,hook"
comprehensive_008_left,comprehensive_008_left,17632,12036,180,"background,grasper,hook"
comprehensive_009_left,comprehensive_009_left,21868,15717,191,"background,grasper,hook"
heichole_002,heichole_002,11580,8681,216,"background,clipper,grasper,hook,scissors"
heichole_004,heichole_004,5450,3906,124,"background,clipper,grasper,hook,scissors"
heichole_006,heichole_006,7366,5723,169,"background,clipper,grasper,hook,scissors"
heichole_008,heichole_008,7492,5596,187,"background,clipper,grasper,hook,scissors"
heichole_012,heichole_012,7698,5697,177,"background,clipper,grasper,hook,scissors"
youtube_cholecystectomy_chenyan_00000,youtube_cholecystectomy_chenyan_00000,13142,10801,101,"background,clipper,grasper,scissors"
youtube_cholecystectomy_chenyan_00001,youtube_cholecystectomy_chenyan_00001,9484,7808,77,"background,clipper,grasper,scissors"
youtube_cholecystectomy_chenyan_00002,youtube_cholecystectomy_chenyan_00002,5291,3977,218,"background,clipper,grasper,hook,scissors"
youtube_cholecystectomy_chenyan_00004,youtube_cholecystectomy_chenyan_00004,1299,1080,16,"background,grasper,scissors"
youtube_cholecystectomy_chenyan_00005,youtube_cholecystectomy_chenyan_00005,6439,5292,88,"background,clipper,grasper,hook,scissors"
youtube_cholecystectomy_chenyan_00007,youtube_cholecystectomy_chenyan_00007,8231,6302,247,"background,clipper,grasper,hook,scissors"
