split,video_id,task,rows,images,clips
train,case_001_video_part_001_segment_3,case_001_video_part_001_segment_3,15171,11779,167
test,case_002_video_part_002_segment_2,case_002_video_part_002_segment_2,11828,9429,97
train,case_003_video_part_001_segment_5,case_003_video_part_001_segment_5,11238,9002,85
train,case_004_video_part_002_segment_2,case_004_video_part_002_segment_2,23205,19253,108
train,case_008_video_part_001_segment_7,case_008_video_part_001_segment_7,12554,9226,166
train,case_009_video_part_002_segment_3,case_009_video_part_002_segment_3,12446,8813,127
val,case_010_video_part_002_segment_2,case_010_video_part_002_segment_2,13771,10349,118
test,case_015_video_part_001_segment_2,case_015_video_part_001_segment_2,12621,9077,112
val,case_018_video_part_002_segment_3,case_018_video_part_002_segment_3,7865,5875,59
train,case_036_video_part_002_segment_3,case_036_video_part_002_segment_3,9908,7221,104
train,case_040_video_part_002_segment_2,case_040_video_part_002_segment_2,10481,7485,76
train,case_059_video_part_001_segment_6,case_059_video_part_001_segment_6,7736,6057,47
train,case_067_video_part_002_segment_2,case_067_video_part_002_segment_2,7288,5295,96
train,cholec80_01,cholec80_01,6840,5002,142
val,cholec80_02,cholec80_02,10296,7404,170
test,cholec80_03,cholec80_03,13531,10308,245
train,cholec80_04,cholec80_04,5822,4259,167
test,cholec80_05,cholec80_05,9687,7392,152
train,cholec80_06,cholec80_06,6649,4766,145
train,cholec80_07,cholec80_07,14709,11311,300
train,cholec80_08,cholec80_08,5630,4078,107
train,cholec80_09,cholec80_09,12787,9620,243
train,cholec80_10,cholec80_10,4279,3254,126
train,cholec80_11,cholec80_11,10024,7594,153
train,cholec80_12,cholec80_12,3640,2739,192
train,cholec80_13,cholec80_13,6389,4735,127
train,cholec80_14,cholec80_14,5349,3953,175
train,cholec80_15,cholec80_15,6213,4514,165
train,cholec80_16,cholec80_16,13882,10655,323
train,cholec80_18,cholec80_18,8465,6074,168
train,cholec80_20,cholec80_20,6642,4907,133
train,cholec80_21,cholec80_21,5522,4055,136
train,cholec80_22,cholec80_22,7879,5775,175
train,cholec80_23,cholec80_23,8660,6469,175
train,cholec80_24,cholec80_24,5920,4400,184
train,cholec80_25,cholec80_25,10264,7323,217
train,cholec80_27,cholec80_27,12811,9295,308
train,cholec80_29,cholec80_29,9682,7018,207
train,comprehensive_001_left,comprehensive_001_left,1824,1164,37
train,comprehensive_003_left,comprehensive_003_left,3404,2561,40
test,comprehensive_004_left,comprehensive_004_left,3668,2459,38
train,comprehensive_005_left,comprehensive_005_left,7996,5605,102
train,comprehensive_006_left,comprehensive_006_left,8260,6322,71
val,comprehensive_007_left,comprehensive_007_left,10566,8228,105
train,comprehensive_008_left,comprehensive_008_left,17632,12036,180
train,comprehensive_009_left,comprehensive_009_left,21868,15717,191
train,heichole_002,heichole_002,11580,8681,216
test,heichole_003,heichole_003,11274,8967,262
train,heichole_004,heichole_004,5450,3906,124
train,heichole_006,heichole_006,7366,5723,169
train,heichole_008,heichole_008,7492,5596,187
val,heichole_010,heichole_010,6115,4579,140
train,heichole_012,heichole_012,7698,5697,177
train,youtube_cholecystectomy_chenyan_00000,youtube_cholecystectomy_chenyan_00000,13142,10801,101
train,youtube_cholecystectomy_chenyan_00001,youtube_cholecystectomy_chenyan_00001,9484,7808,77
train,youtube_cholecystectomy_chenyan_00002,youtube_cholecystectomy_chenyan_00002,5291,3977,218
val,youtube_cholecystectomy_chenyan_00003,youtube_cholecystectomy_chenyan_00003,3273,2605,56
train,youtube_cholecystectomy_chenyan_00004,youtube_cholecystectomy_chenyan_00004,1299,1080,16
train,youtube_cholecystectomy_chenyan_00005,youtube_cholecystectomy_chenyan_00005,6439,5292,88
train,youtube_cholecystectomy_chenyan_00007,youtube_cholecystectomy_chenyan_00007,8231,6302,247
